assigned gene	MIPS Description	p-value	p-value	p-value
YAL038W	pyruvate kinase	3.90E-01	1.40E-01	3.80E-01
YAL039C	holocytochrome-c synthase (cytochrome c heme lyase)	8.70E-01	3.60E-01	5.70E-01
YAL040C	"cyclin, G1/S-specific"	4.20E-02	4.60E-02	2.60E-02
YAL041W	GTP/GDP exchange factor for CDC42P	6.70E-01	1.00E+00	1.00E+00
YAL042W	component of copii vesicles involved in transport between the ER and golgi complex	7.40E-02	4.60E-01	7.30E-01
YAL043C	pre-tRNA processing protein / PF I subunit	7.40E-02	4.60E-01	7.30E-01
YAL043C-A		6.70E-01	1.00E+00	1.00E+00
YAL044C	"glycine decarboxylase, subunit H"	1.00E+00	1.00E+00	6.80E-01
YAL045C	hypothetical protein	3.40E-01	2.40E-01	5.00E-01
YAL046C	weak similarity to hypothetical protein S. pombe	2.90E-01	1.00E+00	7.30E-01
YAL047C	STU2P Interactant	1.60E-01	4.50E-01	5.10E-01
YAL048C	vacuolar aspartic proteasse	3.70E-01	1.00E+00	1.00E+00
YAL049C	weak similarity to Legionella small basic protein sbpA	2.80E-01	4.30E-01	6.20E-01
YAL051W	peroxisome proliferating transcription factor	1.30E-01	3.40E-01	3.30E-01
YAL053W	"strong similarity to hypothetical proteins YOR365c,YGL139w,YPL221w"	7.80E-01	4.70E-01	9.00E-01
YAL054C	acetyl-CoA synthetase	7.80E-01	4.70E-01	9.00E-01
YAL055W	peroxisomal matrix protein import	3.50E-01	6.10E-01	6.90E-01
YAL056W	similarity to hypothetical protein YOR371c	1.00E+00	1.00E+00	1.00E+00
YAL058C-A		1.00E+00	1.00E+00	1.00E+00
YAL058W	"calnexin, involved in regulation of secretion"	7.10E-01	6.90E-01	1.00E+00
YAL059W	involved in cell wall biosynthesis	1.00E+00	1.00E+00	1.00E+00
YAL060W	"stereospecific (2R, 3R)-2,3-butanediol dehydrogenase"	8.80E-01	4.00E-01	2.20E-02
YAL061W	similarity to alcohol/sorbitol dehydrogenase	8.60E-02	5.00E-01	4.00E-01
YAL062W	NADP-glutamate dehydrogenase	2.90E-07	2.10E-02	1.50E-04
YAL063C	strong similarity to FLO1P	8.30E-01	3.90E-02	6.60E-01
YAL064C-A	"strong similarity to FLO1P, FLO5P - putative pseudogene"	2.90E-01	1.00E+00	6.70E-01
YAL064W	hypothetical protein	4.50E-01	2.90E-02	5.80E-01
YAL065C	strong similarity to FLO1P and FLO9P - putative pseudogene	2.90E-01	1.00E+00	6.70E-01
YAL067C	suppressor of sulfoxyde ethionine resistance	2.90E-01	1.00E+00	6.70E-01
YAL068C	strong similarity to subtelomeric encoded proteins	2.90E-01	1.00E+00	6.70E-01
YAR002C-A	p24 protein involved in membrane trafficking	6.90E-01	5.00E-01	8.30E-01
YAR002W	peroxisomal matrix protein import	7.10E-01	5.20E-01	6.30E-01
YAR003W	similarity to human RB protein binding protein	6.90E-01	5.00E-01	8.30E-01
YAR007C	"DNA replication factor A, 69 KD subunit"	2.20E-01	7.10E-01	3.30E-01
YAR008W	tRNA splicing endonuclease gamma subunit	2.20E-01	7.10E-01	3.30E-01
YAR009C		2.60E-01	7.40E-01	3.90E-03
YAR010C		4.50E-01	5.90E-01	6.50E-01
YAR014C	"similarity to hypothetical protein,S.pombe"	3.40E-01	5.80E-01	7.80E-01
YAR015W	phosphoribosylamidoimidazole-succinocarboxamide synthase	3.40E-01	5.80E-01	7.80E-01
YAR018C	ser/thr protein kinase	8.60E-01	6.00E-01	9.60E-01
YAR019C	protein kinase of the MAP kinase kinase kinase family	4.90E-01	6.90E-02	6.10E-01
YAR020C	strong similarity to members of the SRP1P/TIP1P family	1.30E-01	8.40E-01	4.80E-01
YAR023C	"strong similarity to FUN55P, FUN59P, YGL051w, YCR007c, YGL053w, YAR031w and YAR028w"	7.40E-01	8.30E-01	7.60E-01
YAR027W	"strong similarity to YAR028w, YCR007c, YGL053w, YAR031w, FUN59P and YGL051w"	6.30E-01	7.40E-01	5.90E-01
YAR028W	"strong similarity to FUN55P, YGL053w, YCR007c, YAR031w, FUN59P and YGL051w"	9.90E-01	7.30E-01	6.90E-01
YAR029W	"strong similarity to YAR031w, YGL053w, FUN55P, FUN59P and YGL051w"	6.30E-01	6.50E-01	7.80E-01
YAR030C	hypothetical protein	7.50E-01	7.30E-01	5.30E-01
YAR031W	"strong similarity to YGL053w, FUN59P, YGL051w, FUN55P, YAR028w and YCR007c"	6.30E-01	6.50E-01	7.80E-01
YAR033W	"strong similarity to YGL051w, YGL053w, YAR031w, FUN55P, YAR028w and YCR007c"	7.50E-01	7.30E-01	5.30E-01
YAR035W	"carnitine acetyltransferase, mitochondrial"	3.00E-01	4.20E-02	1.60E-01
YAR042W	similarity to mammalian oxysterol-binding proteins	2.20E-01	3.80E-02	2.00E-01
YAR044W	similarity to human oxysterol binding protein (OSBP)	2.30E-01	3.50E-01	3.40E-02
YAR047C	hypothetical protein	5.00E-01	6.40E-01	1.00E+00
YAR050W	cell wall protein involved in flocculation	7.00E-01	1.00E+00	1.20E-02
YAR053W	hypothetical protein	9.80E-01	7.90E-01	7.00E-01
YAR060C	identical to hypothetical protein YHR212c	1.80E-01	6.60E-01	6.10E-01
YAR061W	strong similarity to N-terminus of FLO1P - putative pseudogene	1.80E-01	6.60E-01	6.10E-01
YAR062W	strong similarity to FLO1P - putative pseudogene	8.80E-02	8.30E-01	6.10E-01
YAR064W	hypothetical protein	2.90E-02	4.10E-01	4.10E-01
YAR066W	"similarity to Sta1p, identical to YHR214w hypothetical protein"	2.70E-01	7.30E-02	5.10E-01
YAR068W	strong similarity to hypothetical protein YHR214w-a	9.10E-02	8.50E-01	6.70E-01
YAR069C	hypothetical protein	9.90E-02	6.50E-01	5.40E-01
YAR070C	hypothetical protein	6.80E-01	6.60E-01	9.20E-01
YAR071W	secreted acid phosphatase	6.80E-01	6.60E-01	9.20E-01
YAR073W	strong similarity to IMP dehydrogenases	4.60E-01	4.80E-01	6.20E-01
YAR075W	strong similarity to IMP dehydrogenases	4.60E-01	4.80E-01	6.20E-01
YBL001C	involved in cell wall biogenesis and architecture	7.60E-01	3.80E-01	9.50E-01
YBL002W	histone H2B.2	9.90E-01	1.10E-03	1.00E+00
YBL003C	histone H2A.2	9.90E-01	1.10E-03	1.00E+00
YBL004W	weak similarity to Papaya ringspot virus polyprotein	9.70E-01	4.40E-01	3.60E-01
YBL005W	pleiotropic drug resistance regulatory protein	6.40E-01	3.70E-01	5.90E-01
YBL005W-A		7.50E-01	7.20E-01	9.20E-01
YBL005W-B		7.50E-01	7.20E-01	9.20E-01
YBL006C	hypothetical protein	6.40E-01	3.70E-01	5.90E-01
YBL007C	cytoskeleton assembly control protein	7.60E-01	8.40E-01	7.80E-01
YBL008W	histone transcription regulator	9.30E-01	6.10E-01	9.00E-01
YBL009W	strong similarity to DNA damage responsive ALK1P	3.60E-01	6.00E-02	4.20E-01
YBL010C	hypothetical protein	3.60E-01	6.00E-02	4.20E-01
YBL011W	suppresses a choline-transport mutant	4.10E-01	8.50E-02	7.70E-01
YBL012C	questionable ORF	6.70E-01	7.20E-01	1.60E-01
YBL013W	Methionyl-tRNA Transformylase	1.50E-01	9.00E-01	6.70E-01
YBL014C	RNA polymerase I specific transcription initiation factor	1.50E-01	9.00E-01	6.70E-01
YBL015W	acetyl-CoA hydrolase	5.20E-01	1.50E-01	6.50E-01
YBL016W	mitogen-activated protein kinase (MAP kinase)	9.70E-01	9.60E-01	1.00E+00
YBL017C	vacuolar protein sorting/targeting protein	9.70E-01	9.60E-01	1.00E+00
YBL018C	required for processing of tRNAs and rRNAs	5.60E-01	5.50E-01	4.30E-02
YBL019W	"AP endonuclease, exonuclease III homolog"	2.50E-01	1.00E+00	4.70E-01
YBL020W	nuclear division protein	2.20E-01	8.00E-01	6.30E-01
YBL021C	CCAAT-binding factor subunit	2.20E-01	8.00E-01	6.30E-01
YBL022C	"ATP-dependent protease, mitochondrial"	3.70E-01	8.80E-01	4.70E-01
YBL023C	"member of the MCM2P,MCM3P,CDC46P family"	1.10E-03	3.90E-03	4.50E-01
YBL024W	tRNA (cytosine-5-)-methyltransferase	6.20E-02	2.20E-01	1.20E-01
YBL025W	RNA polymerase I-specific transcription initiation factor	2.70E-01	1.40E-01	2.80E-01
YBL026W	Sm-like (Lsm) protein	8.80E-01	6.40E-01	9.30E-01
YBL027W	60S large subunit ribosomal protein L19.e	2.40E-01	3.10E-01	1.70E-01
YBL028C	hypothetical protein - involved in mating-type regulation	2.40E-01	3.10E-01	1.70E-01
YBL029W	hypothetical protein	6.50E-01	4.40E-03	9.90E-01
YBL030C	ADP/ATP carrier protein (MCF)	9.00E-01	2.10E-01	9.30E-01
YBL031W	hypothetical protein	2.70E-01	4.90E-02	5.90E-01
YBL032W	weak similarity to hnRNP complex protein homolog YBR233w	7.70E-01	8.50E-02	6.00E-01
YBL033C	GTP cyclohydrolase II	7.70E-01	8.50E-02	6.00E-01
YBL034C	mitotic spindle protein	7.40E-01	4.40E-01	6.30E-01
YBL035C	"DNA-directed DNA polymerase alpha, 70 KD subunit"	9.00E-02	1.40E-01	3.90E-01
YBL036C	strong similarity to C.elegans hypothetical protein	7.70E-01	5.80E-01	4.20E-01
YBL037W	"AP-2 complex subunit, alpha-adaptin, 113 KD"	4.70E-01	5.80E-01	2.30E-01
YBL038W	"ribosomal protein of the large subunit, mitochondrial"	2.30E-01	4.00E-01	1.00E+00
YBL039C	CTP synthase 1	2.30E-01	4.00E-01	1.00E+00
YBL040C	ER lumen protein-retaining receptor	3.10E-01	6.20E-01	2.60E-01
YBL041W	20S proteasome subunit(beta6)	1.50E-01	5.20E-02	5.40E-01
YBL042C	uridine transport protein	1.50E-01	5.20E-02	5.40E-01
YBL043W	involved in cell wall structure of biosynthesis	5.40E-01	5.50E-01	8.10E-01
YBL044W	hypothetical protein	3.90E-01	2.60E-01	2.90E-01
YBL045C	ubiquinol--cytochrome-c reductase 44K core protein	3.90E-01	2.60E-01	2.90E-01
YBL046W	weak similarity to hypothetical protein YOR054c	2.00E-01	5.20E-01	8.70E-02
YBL047C	similarity to mouse eps15R protein	2.00E-01	5.20E-01	8.70E-02
YBL048W	hypothetical protein	3.00E-01	8.50E-01	2.30E-02
YBL049W	strong similarity to hypothetical protein - human	3.00E-01	8.50E-01	2.30E-02
YBL050W	transport vesicle fusion protein	1.30E-01	5.90E-01	4.10E-01
YBL051C	similarity to S.pombe Z66568_C protein	1.30E-01	5.90E-01	4.10E-01
YBL052C	silencing protein	2.10E-01	5.10E-01	2.10E-01
YBL053W	questionable ORF	2.90E-01	2.10E-01	5.30E-01
YBL054W	weak similarity to transforming protein (B-myb)	7.60E-02	6.80E-01	1.10E-01
YBL055C	similarity to hypothetical S.pombe protein	7.60E-02	6.80E-01	1.10E-01
YBL056W	ser/thr protein phosphatase PP2C	5.30E-02	6.60E-01	5.30E-01
YBL057C	strong similarity to hypothetical S.pombe protein	5.30E-02	6.60E-01	5.30E-01
YBL058W	potential regulatory subunit for GLC7P	1.00E+00	2.80E-01	6.80E-01
YBL059C-A	weak similarity to hypothetical protein SPBC21D10.07 S. pombe	1.00E+00	2.80E-01	6.80E-01
YBL059W	weak similarity to hypothetical protein YER093c-a	3.30E-01	6.50E-01	1.80E-01
YBL060W	"weak similarity to probable guanine nucleotide exchange factor, S.pombe"	2.30E-02	2.90E-01	6.20E-01
YBL061C	protoplast regeneration and killer toxin resistance protein	2.30E-02	2.90E-01	6.20E-01
YBL062W	questionable ORF	2.50E-01	5.90E-01	4.90E-01
YBL063W	kinesin-related protein	5.20E-01	3.40E-01	9.10E-01
YBL064C	strong similarity to thiol-specific antioxidant enzyme	5.20E-01	3.40E-01	9.10E-01
YBL065W	questionable ORF	2.10E-01	5.00E-01	5.90E-01
YBL066C	putative transcription factor	3.60E-01	1.00E+00	7.00E-01
YBL067C	ubiquitin carboxyl-terminal hydrolase	2.10E-01	5.00E-01	5.90E-01
YBL068W	ribose-phosphate pyrophosphokinase 3	6.10E-02	7.10E-01	3.20E-01
YBL069W	PMA1 protein targeting protein	2.60E-01	2.50E-01	1.50E-02
YBL070C	questionable ORF	6.10E-02	7.10E-01	3.20E-01
YBL071C	hypothetical protein	2.60E-01	2.50E-01	1.50E-02
YBL072C	ribosomal protein S8.e	3.60E-01	6.60E-01	5.40E-01
YBL073W	questionable ORF	1.00E+00	1.00E+00	1.00E+00
YBL074C	A1 cistron splicing factor	3.40E-01	8.20E-01	5.20E-01
YBL075C	"heat shock protein of HSP70 family, cytosolic"	1.00E+00	1.00E+00	1.00E+00
YBL076C	isoleucyl-tRNA synthetase	4.50E-01	8.70E-01	5.50E-01
YBL077W	questionable ORF	1.00E+00	1.00E+00	1.00E+00
YBL078C	essential for autophagy	1.00E+00	1.00E+00	1.00E+00
YBL079W	nuclear pore protein	8.40E-01	7.70E-01	7.80E-01
YBL080C	required to maintain rho+ mitochondrial DNA	8.40E-01	7.70E-01	7.80E-01
YBL081W	hypothetical protein	3.80E-01	6.00E-01	7.10E-01
YBL082C	mannosyltransferase	3.80E-01	6.00E-01	7.10E-01
YBL083C	questionable ORF	3.80E-01	6.00E-01	7.10E-01
YBL084C	subunit of anaphase-promoting complex (cyclosome)	1.00E+00	9.10E-01	5.20E-01
YBL085W	BEM1 protein-binding protein	1.20E-01	6.90E-01	4.20E-01
YBL086C	weak similarity to S. pombe hypothetical protein	1.20E-01	6.90E-01	4.20E-01
YBL087C	60S large subunit ribosomal protein L23.e	9.70E-01	2.00E-01	2.70E-01
YBL088C	telomere length control protein	2.30E-01	5.90E-01	1.10E-01
YBL089W	weak similarity to A.thaliana aminoacid permease AAP3	3.80E-01	7.70E-01	1.30E-01
YBL090W	Mitochondrial ribosomal protein	7.60E-01	1.00E+00	4.80E-01
YBL091C	"methionine aminopeptidase, isoform 2"	7.60E-01	1.00E+00	4.80E-01
YBL091C-A	weak similarity to SCS2	4.80E-01	8.80E-01	6.40E-01
YBL092W	60S large subunit ribosomal protein L32.e	6.70E-01	1.70E-01	1.70E-01
YBL093C	transcription factor	6.70E-01	1.70E-01	1.70E-01
YBL094C	questionable ORF	8.60E-01	5.20E-01	1.00E+00
YBL095W	similarity to C.albicans hypothetical protein	1.50E-01	3.60E-01	1.00E+00
YBL096C	questionable ORF	8.60E-01	5.20E-01	1.00E+00
YBL097W	functional homologue of human BRRN1	8.20E-01	5.40E-01	7.10E-01
YBL098W	similarity to human and D.melanogaster kynurenine 3-monooxygenase	6.30E-02	7.10E-01	8.30E-03
YBL099W	"F1F0-ATPase complex, F1 alpha subunit"	7.10E-01	4.20E-01	9.60E-01
YBL100C	questionable ORF	6.30E-02	7.10E-01	8.30E-03
YBL101C	involved in cell wall biogenesis and architecture	3.40E-01	8.00E-01	2.40E-01
YBL101W-A		3.40E-01	8.00E-01	2.40E-01
YBL101W-B		4.90E-01	6.90E-01	1.00E+00
YBL102W	suppressor of SED5 ts mutants	5.10E-01	7.10E-01	2.90E-01
YBL103C	bHLH/zip transcription factor that regulates CIT2 gene expression	5.10E-01	7.10E-01	2.90E-01
YBL104C	weak similarity to S.pombe hypothetical protein SPAC12G12.01c	2.00E-01	7.40E-01	3.70E-01
YBL105C	ser/thr protein kinase	4.90E-01	4.90E-01	6.60E-01
YBL106C	polarized exocytosis by regulating SNARE function	1.60E-01	4.70E-01	4.10E-01
YBL107C	hypothetical protein	1.00E+00	1.00E+00	1.00E+00
YBL107W-A	questionable ORF - identified by SAGE	9.60E-01	2.90E-01	8.60E-01
YBL108W	strong similarity to subtelomeric encoded proteins	6.50E-01	5.90E-01	8.80E-04
YBL109W	similarity to subtelomeric encoded proteins	9.70E-01	4.30E-01	2.60E-02
YBL111C	strong similarity to subtelomeric encoded proteins	9.70E-01	4.30E-01	2.60E-02
YBL112C	strong similarity to subtelomeric encoded proteins	9.70E-01	4.30E-01	2.60E-02
YBL113C	similarity to Y' ORFs	9.70E-01	4.30E-01	2.60E-02
YBR001C	"alpha,alpha-trehalase"	9.30E-01	7.90E-01	6.70E-01
YBR002C	"cis-prenyltransferase, a key enzyme in dolichol synthesis"	9.40E-01	6.90E-01	3.10E-01
YBR003W	hexaprenyl pyrophosphate synthetase precursor	9.40E-01	6.90E-01	3.10E-01
YBR004C	similarity to S.pombe hypothetical protein SPAC18B11.05	8.70E-01	7.10E-01	1.00E+00
YBR005W	strong similarity to hypothetical protein YDR003w	8.70E-01	7.10E-01	1.00E+00
YBR006W	succinate semialdehyde dehydrogenase	7.30E-01	9.80E-02	8.70E-01
YBR007C	hypothetical protein	6.20E-01	2.00E-02	8.30E-01
YBR008C	fluconazole resistance protein	7.90E-01	1.00E+00	1.00E+00
YBR009C	histone H4	9.20E-01	2.30E-02	7.20E-01
YBR010W	histone H3	9.20E-01	2.30E-02	7.20E-01
YBR011C	"inorganic pyrophosphatase, cytoplasmic"	8.50E-01	7.70E-01	6.90E-01
YBR012C	hypothetical protein	1.40E-01	1.00E+00	1.00E+00
YBR012W-A		1.70E-01	1.00E+00	1.00E+00
YBR012W-B		1.70E-01	1.00E+00	1.00E+00
YBR013C	hypothetical protein	1.40E-01	1.00E+00	1.00E+00
YBR014C	similarity to glutaredoxin	7.90E-01	5.00E-01	8.70E-01
YBR015C	type II membrane protein	3.40E-01	4.70E-01	8.60E-01
YBR016W	strong similarity to hypothetical proteins YDL012c and YDR210w	3.40E-01	4.70E-01	8.60E-01
YBR017C	beta-karyopherin	4.80E-01	6.50E-01	8.40E-01
YBR018C	UDP-glucose--hexose-1-phosphate uridylyltransferase	2.10E-01	7.70E-01	6.30E-01
YBR019C	UDP-glucose 4-epimerase	9.30E-01	6.80E-02	1.00E+00
YBR020W	galactokinase	9.30E-01	6.80E-02	1.00E+00
YBR021W	uracil permease	8.10E-01	6.30E-01	9.50E-01
YBR022W	weak similarity to hypothetical protein Mycobacterium tuberculosis	8.60E-01	5.30E-01	7.20E-01
YBR023C	chitin synthase III	4.50E-01	9.20E-01	8.20E-01
YBR024W	involved in stability of COX1P and COX2P	4.50E-01	9.20E-01	8.20E-01
YBR025C	strong similarity to Ylf1p	2.20E-01	1.80E-01	4.20E-01
YBR026C	mitochondrial respiratory function protein	5.00E-01	1.00E+00	1.00E+00
YBR027C	hypothetical protein	5.00E-01	1.00E+00	1.00E+00
YBR028C	similarity to ribosomal protein kinases	4.90E-01	4.40E-01	7.60E-01
YBR029C	CDP-diacylglycerol synthase	4.80E-01	5.90E-01	9.70E-01
YBR030W	"weak similarity to,regulatory protein MSR1P"	4.80E-01	5.90E-01	9.70E-01
YBR031W	ribosomal protein	8.40E-01	7.20E-01	8.30E-01
YBR032W	hypothetical protein	7.90E-01	5.00E-01	9.00E-01
YBR033W	weak similarity to transcription factors	3.30E-01	2.00E-01	5.70E-01
YBR034C	hnRNP methyltransferase	5.50E-01	3.00E-01	4.10E-01
YBR035C	pyridoxamine-phosphate oxidase	8.40E-01	2.80E-01	9.20E-01
YBR036C	calcium dependent regulatory protein	9.00E-01	6.70E-01	7.00E-01
YBR037C	involved in stabilization of COX1P and COX2P	8.30E-01	7.90E-01	5.00E-01
YBR038W	chitin synthase II	8.30E-01	7.90E-01	5.00E-01
YBR039W	"F1F0-ATPase complex, F1 gamma subunit"	8.50E-01	5.50E-01	7.80E-01
YBR040W	required for efficient mating	8.90E-01	2.40E-01	1.40E-02
YBR041W	very long-chain fatty acyl-CoA synthetase	6.90E-01	2.60E-01	5.90E-01
YBR042C	weak similarity to 1-acyl-sn-glycerol-3-phosphate acyltransferase from Brassica napus	7.60E-01	3.30E-01	5.90E-01
YBR043C	similarity to benomyl/methotrexate resistance protein	4.20E-01	3.40E-01	1.60E-01
YBR044C	chaperone required for assembly of mitochondrial succinate dehydrogenase	6.70E-01	6.40E-01	8.40E-01
YBR045C	GLC7-interacting protein	8.90E-01	6.00E-01	5.40E-01
YBR046C	similarity to zeta-crystallin	6.60E-01	1.00E+00	5.70E-01
YBR047W	hypothetical protein	6.60E-01	1.00E+00	5.70E-01
YBR048W	ribosomal protein S11.e.B	8.10E-01	6.80E-01	3.40E-01
YBR049C	transcription factor	8.60E-01	9.20E-01	3.80E-01
YBR050C	regulatory subunit of type I protein phosphatase	4.60E-02	3.20E-01	3.80E-01
YBR051W	questionable ORF	8.60E-01	9.20E-01	3.80E-01
YBR052C	strong similarity to S.pombe brefeldin A resistance protein obr1	7.80E-01	9.10E-01	5.60E-01
YBR053C	similarity to rat regucalcin	6.00E-01	1.00E+00	1.00E+00
YBR054W	strong similarity to HSP30 heat shock protein Yro1p	8.20E-01	6.60E-01	3.50E-01
YBR055C	snRNP(U4/U6)-associated splicing factor	8.20E-01	7.00E-01	6.70E-01
YBR056W	"similarity to glucan 1,3-beta-glucosidase"	4.20E-01	1.00E+00	1.00E+00
YBR057C	meiotic protein	1.10E-03	2.50E-01	1.00E+00
YBR058C	ubiquitin specific protease	7.60E-01	8.50E-01	5.90E-01
YBR058C-A	required for optimal serine palmitoyltransferase activity	1.80E-01	1.30E-01	7.90E-02
YBR059C	Ark-family Kinase-Like protein	1.80E-01	1.30E-01	7.90E-02
YBR060C	"origin recognition complex, 72 kDa subunit"	4.30E-01	6.70E-01	4.10E-01
YBR061C	similarity to E.coli ftsJ protein	3.80E-01	1.00E+00	6.20E-01
YBR062C	similarity to rat neurodegeneration associated protein 1	4.70E-01	4.00E-01	1.00E+00
YBR063C	hypothetical protein	5.10E-01	5.70E-01	4.20E-01
YBR064W	questionable ORF	4.70E-01	4.00E-01	1.00E+00
YBR065C	involved in cell wall biogenesis and architecture	1.80E-01	3.80E-01	4.70E-01
YBR066C	weak similarity to A.niger carbon catabolite repressor protein	3.60E-01	3.40E-01	4.00E-01
YBR067C	esterase	4.70E-01	4.30E-01	6.30E-01
YBR068C	"leucine permease, high-affinity (S1)"	3.10E-01	5.20E-02	3.40E-01
YBR069C	amino acid permease	6.60E-01	7.90E-03	4.60E-01
YBR070C	osmotolerance protein	5.80E-02	2.90E-07	2.90E-03
YBR071W	hypothetical protein	5.80E-02	2.90E-07	2.90E-03
YBR072W	heat shock protein	3.00E-01	6.10E-01	3.70E-01
YBR073W	required for mitotic diploid-specific recombination and repair and meiosis	4.10E-02	2.60E-02	5.00E-01
YBR074W	weak similarity to aminopeptidase Y	4.00E-01	6.40E-01	2.60E-01
YBR075W	weak similarity to hypothetical protein S. pombe	7.60E-03	4.80E-01	2.00E-01
YBR076W	involved in cell wall structure or biosynthesis	3.60E-01	1.10E-01	3.50E-01
YBR077C	hypothetical protein	2.70E-01	7.20E-07	7.50E-02
YBR078W	involved in cell wall biogenesis and architecture	2.70E-01	7.20E-07	7.50E-02
YBR079C	translation initiation factor eIF3 (p110 subunit)	4.20E-01	1.40E-02	5.30E-01
YBR080C	"vesicular-fusion protein, functional homolog of NSF"	7.70E-02	3.40E-01	4.50E-01
YBR081C	involved in alteration of transcription start site selection	9.80E-01	4.80E-01	9.90E-01
YBR082C	E2 ubiquitin-conjugating enzyme	6.50E-01	4.10E-01	8.40E-01
YBR083W	Ty transcription activator	7.80E-02	5.10E-02	3.50E-03
YBR084C-A	60S large subunit ribosomal protein L19.e	6.40E-01	5.60E-01	2.50E-01
YBR084W	"C1-tetrahydrofolate synthase precursor, mitochondrial"	6.50E-01	8.70E-01	1.40E-01
YBR085C-A	hypothetical protein - identified by SAGE	7.90E-01	1.00E-01	7.20E-01
YBR085W	ADP/ATP carrier protein (MCF)	6.40E-01	5.60E-01	2.50E-01
YBR086C	weak similarity to calcium and sodium channel proteins	5.30E-01	4.90E-01	1.00E-01
YBR087W	"DNA replication factor C, 40 KD subunit"	5.30E-01	4.90E-01	1.00E-01
YBR088C	Proliferating Cell Nuclear Antigen (PCNA)	5.70E-01	5.10E-01	7.80E-01
YBR089C-A	nonhistone chromosomal protein	7.30E-01	3.40E-01	4.00E-01
YBR089W	questionable ORF	7.60E-01	4.00E-01	5.90E-01
YBR090C	questionable ORF	7.30E-01	3.40E-01	4.00E-01
YBR091C	subunit of the TIM22-complex	7.80E-01	9.80E-01	1.00E+00
YBR092C	constitutive acid phosphatase precursor	9.80E-01	2.70E-01	4.30E-01
YBR093C	repressible acid phosphatase precursor	5.50E-01	6.80E-01	7.10E-01
YBR094W	weak similarity to pig tubulin-tyrosine ligase	5.50E-01	6.80E-01	7.10E-01
YBR095C	weak similarity to hypothetical protein S. pombe	4.20E-01	8.00E-01	4.80E-01
YBR096W	weak similarity to CG4660; D. melanogaster	4.20E-01	8.00E-01	4.80E-01
